reviews,titles
 대한민국 헌법 제 조  항   대한민국 주권은 국민에 있고  모든 권력은 국민으로 부터 나온다  국가란 국민입니다  그런데 증인이야 말로 그 국가를 아무 법적 근거도 없이 국가보안문제라고 탄압하고 짓밟았잖소  증인이 말하는 국가란 이 나라를 정권을 강제로 찬탈한 일부 군인들 아니야    헛소리 고마하고 진실을 애기해라  니는 니가 애국자 같나    천만에  니는 애국자가 아이고 죄없고 선량한 국가를 병들게하는 버러지고  군사정권의 하수인일 뿐이야  진실을 이야기 해라  그게 애국이야    ,변호인
다시본 영화    다시봐도 송강호는 역시    노무현 다시 생각나게 만드는구만    ,변호인
국민들을 위해 치열한 삶을 살았던 사람   허나 정작 밥만 먹을수있게 해주면 군화발로 짓밟고 들어온 녀석도  그 따까리부하도  밀어주겠다니까 붙어먹은 녀석도  전과   범의 얍삽한 녀석도  독재자의 딸도 대통령으로 밀어주고 받들어주는 무지한 개돼지같은 국민들은 고마움은커녕 그 상전들을위해 되려  왜곡질 조작질 선동질 당하며 코웃음친     아직까지도 현 한국민들에겐 돼지목에 진주목걸이 같은 사람 ,변호인
일부러 낮은 점수 때리는 새끼들은 뭐하는 존재들일까  영화를 보기나 했을까  노무현만 나오면      거리는 꼬라지들 진심 미친개 같다 ,변호인
송강호대단하네요,변호인
 ,변호인
   ,변호인
몇번을 봤는지 이미 기억이 안남  별점을 감히 드릴수없는 영화    아이가 자라면서 점점 내가 해야할일들을 생각하게 만드는 영화 ,변호인
방금 봤습니다  노통 감사합니다   전두환씨는 참으로 엄청난 악행을 저지른 죄인이네요 꼭 그 죗값을 치루길 바랍니다,변호인
어찌그리가셨을까요    그립습니다,변호인
노통이  그립습니다,변호인
사람을 생각하는 그를 그리워 합니다 ,변호인
저한테는 그냥 인생영화네요 영화를 한번 보시고 판단하세요 실화네어떠네 미화를 했네 욕만 할게 아니고   마지막장면에 부산의 변호사 대부분이 변호했던 사실만은 부정할수 없잖아요,변호인
송강호는 연기를 정말 잘한다,변호인
다시봐도 명작,변호인
